,Comune,Provincia,Tipologia,Categoria,Denominazione,Indirizzo,Frazione,Telefono,FAX,Indirizzo posta elettronica,Sito internet,Periodo apertura,Codice esercizio ricettivo,Partita IVA,Prezzo massimo letto aggiunto,Prezzo massimo consumazione pasto,Prezzo massimo colazione,Numero camere,Numero posti letto,Numero bagni comuni,Numero posti per tipo unità,Tipologia unità,Prezzo,Mobili,Numero posti,Tipologia piazzola,Prezzo piazzola,Numero lavelli,Numero WC,Numero docce,Numero piazzole,Allestimenti stabili,Allestimenti mobili,Capacita ricettiva,Codice servizio,Descrizione servizio,Tipo servizio,Codice altro servizio,Descrizione altro servizio,Denominazione localita turistica,Denominazione annuario localita turistica,Denominazione ente annuario localita turistica,Altitudine localita turistica,Cap localita turistica,Denominazione localita,Altitudine localita,Codice localita,CAP localita,Unnamed: 48
24,ARCO,TRENTO,AFFITTACAMERE,tre_soli,LA CANTINOTA,"VIA LINFANO, 50",LINFANO,0464-548230,,info@lacantinota.it,www.lacantinota.it,annuale,1287458,2289640225.0,"36,00",,"3,00",8.0,16.0,0.0,2.0,camera-con-bagno,95.0,,,,,,,,,,,,,,prima-colazione,,,ARCO,ARCO,A.P.T. GARDA TRENTINO,91,38062,LINFANO,71,50000155,38062,
25,ARCO,TRENTO,AFFITTACAMERE,un_sole,CARLY'S ROOMS,"VIA LINFANO, 54",LINFANO,392 6211003,,carlysrooms@gmail.com,,annuale,291437644,2396100220.0,,,,3.0,10.0,1.0,10.0,appartamento,0.0,,,,,,,,,,,,,,prima-colazione,,,ARCO,ARCO,A.P.T. GARDA TRENTINO,91,38062,LINFANO,71,50000155,38062,
26,ARCO,TRENTO,AFFITTACAMERE,un_sole,CASA ARCOBELLA,VIA S. ANNA 19/B,,0464-531655,0464-531655,info@appartamentiarcobell a.com,www.appartamentiarcobella .com,annuale,1572349,1905150221.0,"15,00",,,2.0,4.0,0.0,2.0,appartamento,65.0,,,,,,,,,,,,STANN09.Pa17.bici,Biciclette/City Bike,,,,ARCO,ARCO,A.P.T. GARDA TRENTINO,91,38062,ARCO,91,325,38062,
27,ARCO,TRENTO,AFFITTACAMERE,un_sole,CASA PASQUAI GUEST HOUSE,"VIA SANTA CATERINA, 91",,0464-557875,,info@casapasquai.it,,annuale,260146643,1549140224.0,,,,3.0,6.0,0.0,2.0,camera-con-bagno,0.0,,,,,,,,,,,,,,,,,ARCO,ARCO,A.P.T. GARDA TRENTINO,91,38062,ARCO,91,325,38062,
28,ARCO,TRENTO,AFFITTACAMERE,un_sole,RUTH,"VIA SCALETTA, 5",SAN MARTINO DI ARCO,0461-233777,0461-233926,comunitasolidale@diocesit n.it,,annuale,301540065,337510226.0,,,,5.0,9.0,1.0,2.0,camera-con-bagno,0.0,,,,,,,,,,,,,,prima-colazione,,,ARCO,ARCO,A.P.T. GARDA TRENTINO,91,38062,SAN MARTINO DI ARCO,91,8520,38062,
29,ARCO,TRENTO,BED & BREAKFAST,,A CASA DI PIETRO - MONFORTE ANNALISA,"VIA VERGOLANO, 53",,349 4558567,,info@acasadipietrobedand breakfast.it,,annuale,300097235,,,,,3.0,8.0,0.0,2.0,camera-con-bagno,0.0,,,,,,,,,,,,,,BBqualita,,,ARCO,ARCO,A.P.T. GARDA TRENTINO,91,38062,ARCO,91,325,38062,
30,ARCO,TRENTO,BED & BREAKFAST,,ADRIANA - MIORI ISCHIA ADRIANA,"VIA NARZELLE, 23",,339-3623134,,adriarco@hotmail.it,,annuale,1292526,,,,,3.0,7.0,1.0,2.0,camera-senza-bagno,80.0,,,,,,,,,,,,,,BBqualita,,,ARCO,ARCO,A.P.T. GARDA TRENTINO,91,38062,ARCO,91,325,38062,
31,ARCO,TRENTO,BED & BREAKFAST,,AGLI ULIVI - PEDRINI CRISTINA,"VIA CACCIATORE, 16/B",,0464-571924,,bendbagliulivi@outlook.it,,annuale,307811872,,,,,3.0,8.0,1.0,2.0,camera-senza-bagno,0.0,,,,,,,,,,,,,,BBqualita,,,ARCO,ARCO,A.P.T. GARDA TRENTINO,91,38062,ARCO,91,325,38062,
32,ARCO,TRENTO,BED & BREAKFAST,,ARCO DEI SOGNI - CHIESA SABRINA,"PIAZZA GIACOMO POVOLI, 5 / int. 4",,328 6931009,,info@arcodeisogni.it,www.arcodeisogni.it,annuale,294607583,,,,,3.0,9.0,0.0,2.0,camera-con-bagno,0.0,,,,,,,,,,,,,,BBqualita,,,ARCO,ARCO,A.P.T. GARDA TRENTINO,91,38062,ARCO,91,325,38062,
33,ARCO,TRENTO,BED & BREAKFAST,,B&B ALTHAMER PALACE - TURRINI CLARISSA,"VIA SEGANTINI, 98",,333 5217509,,althamer.arco@gmail.com,,annuale,300191573,,,,,2.0,4.0,0.0,2.0,camera-con-bagno,0.0,,,,,,,,,,,,,,BBqualita,,,ARCO,ARCO,A.P.T. GARDA TRENTINO,91,38062,ARCO,91,325,38062,
34,ARCO,TRENTO,BED & BREAKFAST,,B&B A.R.C.O. - ZANONI MIRIANA,"VIA GOITO, 6",BOLOGNANO,347-2406423,,szanoni1@alice.it,,annuale,307812083,,,,,3.0,9.0,0.0,3.0,camera-con-bagno,0.0,,,,,,,,,,,,,,BBqualita,,,ARCO,ARCO,A.P.T. GARDA TRENTINO,91,38062,BOLOGNANO,91,8492,38062,
35,ARCO,TRENTO,BED & BREAKFAST,,B&B BAZZANELLA GIULIA,"VIA SCUDERIE, 4",,0464-553445,,ciao@lescuderiearco.com,,annuale,310912525,,,,,3.0,6.0,1.0,2.0,camera-senza-bagno,0.0,,,,,,,,,,,,,,BBqualita,,,ARCO,ARCO,A.P.T. GARDA TRENTINO,91,38062,ARCO,91,325,38062,
36,ARCO,TRENTO,BED & BREAKFAST,,B&B LA VILLA - FRASCHINI MARCO,"LOCALITA' GAZZI, 8",,339 5010165,,,,annuale,289389507,,,,,3.0,11.0,1.0,3.0,camera-con-bagno,0.0,,,,,,,,,,,,,,BBqualita,,,ARCO,ARCO,A.P.T. GARDA TRENTINO,91,38062,ARCO,91,325,38062,
37,ARCO,TRENTO,BED & BREAKFAST,,B&B REMONDINI ANNA,"VIA SOCCESURE, 1 - BOLOGNANO",,0464-516045,0464-581596,gardastivo@gardaqui.net,,annuale,1292417,,,,,4.0,12.0,0.0,2.0,camera-con-bagno,90.0,,,,,,,,,,,,,,BBqualita,,,ARCO,ARCO,A.P.T. GARDA TRENTINO,91,38062,ARCO,91,325,38062,
38,ARCO,TRENTO,BED & BREAKFAST,,B&B VELLO D'ARCO - CAMOZZA KATIA,"LOC. VELO, 15",,347-3630151,,katia_camozza@hotmail.com,,annuale,307991496,,,,,4.0,12.0,0.0,2.0,camera-con-bagno,0.0,,,,,,,,,,,,,,BBqualita,,,ARCO,ARCO,A.P.T. GARDA TRENTINO,91,38062,ARCO,91,325,38062,
39,ARCO,TRENTO,BED & BREAKFAST,,B&B VILLA PRINCIPESSA - DEMCHUK ALLA,"VIA MARCONI, 27",,329-6738304,,info@villaprincipessa.it,www.villaprincipessa.it,annuale,258249741,,,,,4.0,11.0,0.0,2.0,camera-con-bagno,0.0,,,,,,,,,,,,,,BBqualita,,,ARCO,ARCO,A.P.T. GARDA TRENTINO,91,38062,ARCO,91,325,38062,
40,ARCO,TRENTO,BED & BREAKFAST,,BLUE MOON - COGUT INA,"VIA MONTE BRIONE, 40",GROTTA,392 9510143,,bluemoonarco@gmail.com,,annuale,297959844,,,,,1.0,2.0,0.0,2.0,camera-con-bagno,0.0,,,,,,,,,,,,,,BBqualita,,,ARCO,ARCO,A.P.T. GARDA TRENTINO,91,38062,GROTTA,91,8502,38062,
41,ARCO,TRENTO,BED & BREAKFAST,,BUON DI' - DELL'EVA GIOVANNA,"VIA LINFANO, 5",LINFANO,349 0786163,,,,annuale,293212185,,,,,4.0,9.0,1.0,2.0,camera-con-bagno,0.0,,,,,,,,,,,,,,BBqualita,,,ARCO,ARCO,A.P.T. GARDA TRENTINO,91,38062,LINFANO,71,50000155,38062,
42,ARCO,TRENTO,BED & BREAKFAST,,CASA ZANONI - ZANONI RUGGERO,"VIA CARBONARI, 5",PADARO,348 2605983,,ruggero.zanoni@gmail.com,,annuale,230818197,,,,,3.0,9.0,2.0,3.0,camera-senza-bagno,108.0,,,,,,,,,,,,,,BBqualita,,,ARCO,ARCO,A.P.T. GARDA TRENTINO,91,38062,PADARO,351,8510,38062,
43,ARCO,TRENTO,BED & BREAKFAST,,GARDARCO - ROTTOLI MARIO,"VIA VERGOLANO, 3",,388-4811011,,info@bbgardarco.com,www.bbgardarco.com,annuale,230841858,,,,,3.0,6.0,2.0,2.0,camera-senza-bagno,90.0,,,,,,,,,,,,,,BBqualita,,,ARCO,ARCO,A.P.T. GARDA TRENTINO,91,38062,ARCO,91,325,38062,
44,ARCO,TRENTO,BED & BREAKFAST,,GIOVANNA D'ARCO - TONINI GIOVANNA,"VIA MANTOVA, 17",,328-7661616,,giovanna.tonini@gmail.com,,annuale,305568140,,,,,1.0,2.0,0.0,2.0,camera-con-bagno,0.0,,,,,,,,,,,,,,BBqualita,,,ARCO,ARCO,A.P.T. GARDA TRENTINO,91,38062,ARCO,91,325,38062,
45,ARCO,TRENTO,BED & BREAKFAST,,ORO - PEDERZOLLI MAURO,"LOC. GAZZI, 43",,338-5717431,,arcomauro@virgilio.it,,annuale,211089210,,,,,1.0,2.0,1.0,2.0,camera-senza-bagno,80.0,,,,,,,,,,,,,,BBqualita,,,ARCO,ARCO,A.P.T. GARDA TRENTINO,91,38062,ARCO,91,325,38062,
46,ARCO,TRENTO,BED & BREAKFAST,,PEDERZOLLI CLAUDIO,"VIA S. MARCELLO, 9",,0464-518433,,office@agrivivere.com,www.bedandpizza.com,annuale,1291415,,,,,3.0,6.0,0.0,2.0,camera-con-bagno,110.0,,,,,,,,,,,,,,BBqualita,,,ARCO,ARCO,A.P.T. GARDA TRENTINO,91,38062,ARCO,91,325,38062,
47,ARCO,TRENTO,BED & BREAKFAST,,RENZO E ANTONIETTA - CHIOZZINI RENZO,"VIA MONTE GRAPPA, 15",,0464-519785,,renzochiozzini@alice.it,www.webalice.it/renzochio zzini,annuale,1627237,,,,,1.0,3.0,0.0,3.0,camera-con-bagno,90.0,,,,,,,,,,,,,,BBqualita,,,ARCO,ARCO,A.P.T. GARDA TRENTINO,91,38062,ARCO,91,325,38062,
48,ARCO,TRENTO,BED & BREAKFAST,,SANTIAGO - CESCHIA GIOVANNI,"VIA FRISONI, 14",VARIGNANO,347 2998973,,giovanniceschia@hotmail.c om,,annuale,264580846,,,,,3.0,6.0,0.0,2.0,camera-con-bagno,0.0,,,,,,,,,,,,,,BBqualita,,,ARCO,ARCO,A.P.T. GARDA TRENTINO,91,38062,VARIGNANO,91,8525,38062,
49,ARCO,TRENTO,BED & BREAKFAST,,SIMONE GALANTE,"VIA MONTE SANTO, 9",,0464-510475,,galante.simone@yahoo.it,,annuale,310873017,,,,,1.0,2.0,0.0,2.0,camera-senza-bagno,0.0,,,,,,,,,,,,,,BBqualita,,,ARCO,ARCO,A.P.T. GARDA TRENTINO,91,38062,ARCO,91,325,38062,
50,ARCO,TRENTO,CAMPEGGIO,2stelle,CAMPING BELLAVISTA,"VIA GARDESANA, 31",LINFANO,0464-505644,0464-505166,info@camping-bellavista.i t,www.camping-bellavista.it,annuale,1284574,1414640225.0,,,,,,,,piazzola,14.0,,,,,,,,110.0,0.0,0.0,338.0,STANN14.tennis-tavolo,Tennis tavolo - ping pong,,,,ARCO,ARCO,A.P.T. GARDA TRENTINO,91,38062,LINFANO,71,50000155,38062,
51,ARCO,TRENTO,CAMPEGGIO,3stelle,CAMPEGGIO ARCO,"VIA LEGIONARI CECOSLOVACCHI, 12",PRABI,0464-517491,0464-515525,info@arcoturistica.com,www.arcoturistica.com,annuale,1284528,1683140220.0,,,,,,,,piazzola,13.0,,,,,,,,232.0,22.0,0.0,1010.0,STANN14.campo-basket-volley,Campo basket/volley,,,,ARCO,ARCO,A.P.T. GARDA TRENTINO,91,38062,PRABI,91,50000157,38062,
52,ARCO,TRENTO,CAMPEGGIO,3stelle,CAMPING MAROADI,"VIA GARDESANA, 13",PRABI,0464-505175,0461-976002,info@campingmaroadi.it,www.campingmaroadi.it,annuale,1284907,489900225.0,,,,,,,,piazzola,19.0,SI,4.0,allestimento-mobile-case-mobili,0.0,,,,271.0,8.0,12.0,900.0,STANN14.campo-tennis,Campo tennis,,,,ARCO,ARCO,A.P.T. GARDA TRENTINO,91,38062,PRABI,91,50000157,38062,
53,ARCO,TRENTO,CAMPEGGIO,3stelle,CAMPING ZOO,"VIA LEGIONARI CECOSLOVACCHI, 24",PRABI,0464-516232,0464-516232,zoo@camping.it,www.camping.it/trentino/z oo,annuale,1284339,2381340229.0,,,,,,,,piazzola,15.0,SI,4.0,allestimento-mobile-caravan,90.0,,,,246.0,0.0,19.0,820.0,STANN14.tennis-tavolo,Tennis tavolo - ping pong,,,,ARCO,ARCO,A.P.T. GARDA TRENTINO,91,38062,PRABI,91,50000157,38062,
54,ARCO,TRENTO,CASA PER FERIE (TRADIZIONALE),,CASA PER FERIE SAN PANCRAZIO,"VIA DAMIANO CHIESA, 2",,0464-586200,0462-586296,info@ospedalesanpancrazio .it,www.ospedalesanpancrazio. it,annuale,146332688,1148190547.0,"20,00","16,00","8,00",11.0,25.0,,2.0,camera-con-bagno,150.0,,,,,11.0,11.0,9.0,,,,,STANN14.tennis-tavolo,Tennis tavolo - ping pong,prima-colazione,STANN14.campo-bocce,Campo bocce,ARCO,ARCO,A.P.T. GARDA TRENTINO,91,38062,ARCO,91,325,38062,
55,ARCO,TRENTO,CAV - APPARTAMENTO PER VACANZE,,APPARTAMENTI LE SERVITE,"VIA PASSIRONE, 68",,0464-554665,,info@leservite.com,www.leservite.com,annuale,267642141,1324990223.0,,,,10.0,30.0,,2.0,appartamento,0.0,,,,,,,,,,,,,,,,,ARCO,ARCO,A.P.T. GARDA TRENTINO,91,38062,ARCO,91,325,38062,
56,ARCO,TRENTO,CAV - APPARTAMENTO PER VACANZE,,CA' ROSSA,"VIA LINFANO, 45-47",LINFANO,0464-506088,0464-505858,info@holidayhomegardatren tino.com,,annuale,306066317,2457550222.0,,,,9.0,24.0,,2.0,appartamento,0.0,,,,,,,,,,,,,,,,,ARCO,ARCO,A.P.T. GARDA TRENTINO,91,38062,LINFANO,71,50000155,38062,
57,ARCO,TRENTO,CAV - APPARTAMENTO PER VACANZE,,CASA VANNY,"VIA FOSSA GRANDE, 18",,0464-576657,0464-521222,info@casavanny.it,www.casavanny.it,annuale,1617355,2220410225.0,,,,7.0,21.0,,2.0,appartamento,84.0,,,,,,,,,,,,,,,,,ARCO,ARCO,A.P.T. GARDA TRENTINO,91,38062,ARCO,91,325,38062,
58,ARCO,TRENTO,CAV - APPARTAMENTO PER VACANZE,,GUESTHOUSE 2,"VIA RONCHI, 4",,335-5241312,0464-519544,hmg@guesthouse-arco.com,www.guesthouse-arco.com,annuale,1283832,1535710220.0,,,,8.0,34.0,,3.0,appartamento,120.0,,,,,,,,,,,,,,,,,ARCO,ARCO,A.P.T. GARDA TRENTINO,91,38062,ARCO,91,325,38062,
59,ARCO,TRENTO,CAV - APPARTAMENTO PER VACANZE,,LA LANTERNA,"VIA LEGIONARI CECOSLOVACCHI, 30",PRABI,0464-517013,0464-516049,info@lanterna-arco.com,www.lanterna-arco.com,annuale,1281707,2012270225.0,,,,3.0,12.0,,4.0,appartamento,100.0,,,,,,,,,,,,,,,,,ARCO,ARCO,A.P.T. GARDA TRENTINO,91,38062,PRABI,91,50000157,38062,
60,ARCO,TRENTO,CAV - APPARTAMENTO PER VACANZE,,PALAZZO OLTRE - CASA VACANZE,"PIAZZA TRENTO, 6",CANEVE,347-7028153,,info@palazzooltre.it,www.palazzooltre.it,annuale,288886812,2406860227.0,,,,5.0,12.0,,2.0,appartamento,0.0,,,,,,,,,,,,,,,,,ARCO,ARCO,A.P.T. GARDA TRENTINO,91,38062,CANEVE,91,8495,38062,
