"Numero sentiero tratta";"Competenza";"Denominazione";"Difficoltà";"Località inizio";"Località fine";"Quota inizio";"Quota fine";"Quota minima";"Quota massima";"Lunghezza plaminetrica";"Lunghezza inclinata";"Tempo andata";"Tempo ritorno";"Gruppo montagne interessate";"Comuni toccati";
"E107";"RIF. FINONCHIO \"F.LLI FILZI\"";"SENTIERO DELLA PRADECIM";"E";"PORNAL - presso Diéneri";"ZOM - Prà del Finonchio (b.103-104)";1,134;1,577;1,134;1,577;2,470;2,540;"01:30";"01:00";"FINONCHIO - MONTE MAGGIO";"Terragnolo, Rovereto";
"E108";"SEZ. SAT ALA";"";"E";"RONCHI DI ALA (b.114)";"STRADA PER PASSO PERTICA (b.109)";711;1,580;711;2,238;12,900;13,210;"07:00";"06:10";"CAREGA - PICCOLE DOLOMITI";"Ala";
"E108B";"SEZ. SAT ALA";"SENTIERO DEL VALLON DELLA TELEFERICA";"E";"STRADA DI CAMPOBRUN (b.109)";"RIFUGIO \"MARIO FRACCAROLI\" (b.108-157)";1,661;2,238;1,661;2,238;2,400;2,470;"01:30";"01:10";"CAREGA - PICCOLE DOLOMITI";"Ala";
"E109";"SEZ. SAT ALA";"";"E";"BIVIO PER SCHINCHERI (b.108)";"VERSANTE S BOCCHETTA DEI FONDI (b.157)";830;1,985;819;1,985;9,770;9,960;"04:20";"03:30";"CAREGA - PICCOLE DOLOMITI";"Ala";
"E110";"SEZ. SAT ALA";"";"E";"BRUSTOLOTTI DI ALA";"BOCCA GAIBANA";211;1,588;211;1,588;13,100;13,220;"05:00";"04:00";"MONTI LESSINI";"Ala";
"E111";"SEZ. SAT ALA";"";"E";"ALA";"VERSANTE S DEL MONTE CASTELBERTO";211;1,765;211;1,765;7,210;7,420;"04:30";"03:20";"MONTI LESSINI";"Ala";
"E112";"SEZ. SAT ALA";"";"E";"QUOTA 1500 (b.113)";"ex MALGA BAROGNOL";1,500;1,205;1,205;1,500;5,790;5,820;"02:10";"02:30";"MONTI LESSINI";"Ala";
"E113";"SEZ. SAT ALA";"";"E";"ALA";"RIFUGIO PODESTERIA";211;1,655;211;1,655;8,200;8,410;"04:40";"03:30";"MONTI LESSINI";"Ala";
"E114";"SEZ. SAT ALA";"SENTIERO DELLE CRESTINE";"E";"RONCHI DI ALA (b.108)";"DORSALE SE DI CIMA LEVANTE (b.115)";711;1,952;711;2,020;6,490;6,690;"04:10";"03:00";"CAREGA - PICCOLE DOLOMITI";"Ala";
"E114B";"SEZ. SAT ALA";"";"E";"VAL DI GATTO (b.115)";"CASARINO (b.108)";1,550;1,667;1,550;1,667;1,600;1,640;"00:40";"00:30";"CAREGA - PICCOLE DOLOMITI";"Ala";
"E115";"SEZ. SAT ROVERETO, SEZ. SAT ALA";"";"E";"MARCO";"PALA DI CHERLE (b.108)";180;1,860;180;1,952;19,700;20,050;"08:30";"07:10";"CAREGA - PICCOLE DOLOMITI";"Rovereto, Ala";
"E116";"SEZ. SAT ALA";"";"E";"CUMERLOTTI - SS 12 Km 340,5";"PASSO BUOLE - pr. baitella (b.115)";147;1,460;147;1,460;8,700;8,840;"04:10";"03:10";"CAREGA - PICCOLE DOLOMITI";"Ala";
"E117";"SEZ. SAT ROVERETO";"";"E";"RIVA DI VALLARSA";"PASSO BUOLE - pr. cappella (b.115)";710;1,465;710;1,465;2,920;3,040;"02:00";"01:20";"CAREGA - PICCOLE DOLOMITI";"Vallarsa";
"E118";"GRUPPO SAT VALLARSA (Sez. Rovereto)";"SENTER DEL FIL";"E";"MATASSONE";"RIFUGIO MONTE ZUGNA (b.115)";838;1,617;838;1,617;3,700;3,800;"02:30";"01:30";"CAREGA - PICCOLE DOLOMITI";"Vallarsa, Rovereto";
"E119";"SEZ. SAT ROVERETO";"";"E";"POZZACCHIO";"PIAN DI CHESERLE (b.101-122-132B)";793;1,378;793;1,395;3,610;3,700;"02:00";"01:30";"PASUBIO - COLSANTO";"Trambileno";
"E119B";"SEZ. SAT ROVERETO";"";"E";"pr. MALGA MONTICELLO (b.119)";"SELLETTA BATTISTI (b.122-122C)";1,395;1,725;1,395;1,725;4,140;4,190;"01:30";"01:15";"PASUBIO - COLSANTO";"Trambileno, Vallarsa";
"E120";"RIF. ALPE POZZA \"VINCENZO LANCIA\"";"";"E";"RIFUGIO \"VINCENZO LANCIA\" (b.101-102-105-132)";"RIFUGIO GENERALE \"ACHILLE PAPA\" (b.105)";1,802;1,925;1,802;2,077;7,400;7,500;"02:30";"02:30";"PASUBIO - COLSANTO";"Trambileno";
"E121";"SEZ. SAT ROVERETO";"";"E";"SORGENTE (b.147)";"QUOTA 1975 (b.120)";1,828;1,975;1,828;1,975;1,100;1,130;"00:30";"00:20";"PASUBIO - COLSANTO";"Trambileno";
"E121A";"SEZ. SAT ROVERETO";"";"E";"QUOTA 1830 (b.121)";"QUOTA 1974 (b.120)";1,830;1,974;1,830;1,974;740;770;"00:30";"00:20";"PASUBIO - COLSANTO";"Trambileno";
"E122";"SEZ. SAT ROVERETO";"";"E";"BOCCALDO DI TRAMBILENO";"SELLETTA BATTISTI (b.119B-122C)";662;1,725;662;1,725;6,990;7,140;"03:50";"02:40";"PASUBIO - COLSANTO";"Vallarsa, Trambileno";
"E122A";"SEZ. SAT ROVERETO";"";"E";"VALMORBIA";"SELLA DELLA TRAPPOLA (b.122B-122C-143)";670;1,425;670;1,425;2,900;3,010;"02:00";"01:30";"PASUBIO - COLSANTO";"Vallarsa, Trambileno";
"E122B";"SEZ. SAT ROVERETO";"";"EEA";"VALLE DEI FOXI (b.102)";"SELLA DELLA TRAPPOLA (b.122A-122C-143)";766;1,425;766;1,425;3,120;3,200;"02:00";"01:20";"PASUBIO - COLSANTO";"Vallarsa";
"E122C";"SEZ. SAT ROVERETO";"VIA FERRATA FRANCO GALLI VF - EEA-F";"EEA-F";"SELLA DELLA TRAPPOLA (b.122A-122B-143)";"SELLETTA BATTISTI (b.119B-122-143)";1,425;1,720;1,425;1,720;1,310;1,350;"01:30";"01:00";"PASUBIO - COLSANTO";"Vallarsa, Trambileno";
"E123";"SEZ. SAT ROVERETO";"";"E";"TEZZE (b.122A)";"VALICO DEL MENDERLE (b.119B)";788;1,679;788;1,679;2,000;2,190;"02:30";"01:50";"PASUBIO - COLSANTO";"Vallarsa";
"E124";"SEZ. SAT FOLGARIA, SEZ. SAT ROVERETO";"";"E";"CARBONARE";"PASSO DELLA BORCOLA (b.147)";1,076;1,219;1,076;1,873;17,440;17,630;"06:30";"06:30";"FINONCHIO - MONTE MAGGIO";"Folgaria, Terragnolo";
"E131";"RIF. ALPE POZZA \"VINCENZO LANCIA\"";"";"E";"MALGA COSTONI (b.131A)";"SORGENTE pr. Rifugio \"V. Lancia\" (b.105-120)";1,637;1,805;1,637;2,110;4,220;4,330;"02:00";"01:50";"PASUBIO - COLSANTO";"Trambileno";
"E131A";"SEZ. SAT ROVERETO";"SENTIERO FAUSTO ANDRIGHETTONI";"E";"MALGA COSTONI (b.131)";"ALPE POZZE (b.120)";1,637;1,877;1,637;2,090;6,620;6,710;"02:50";"02:40";"PASUBIO - COLSANTO";"Trambileno";
"E132";"SEZ. SAT ROVERETO";"SENTER DELLE ULL";"E";"QUOTA 1280 (b.101)";"RIFUGIO \"VINCENZO LANCIA\" (b.101-102-105-120)";1,280;1,802;1,280;1,837;5,240;5,330;"02:10";"01:40";"PASUBIO - COLSANTO";"Trambileno";
"E132B";"SEZ. SAT ROVERETO";"SENTER DELLE PALE";"E";"PIAN DI CHESERLE (b.101-119-122)";"pr. ALPE ALBA (b.132)";1,365;1,837;1,365;1,837;2,180;2,250;"01:20";"01:00";"PASUBIO - COLSANTO";"Trambileno";
"E133";"SEZ. SAT ROVERETO";"";"E";"STRADA DELLE MALGHE (b.133A)";"SELLA DELLE POZZE (b.120)";1,775;1,903;1,670;1,903;3,770;3,830;"01:30";"01:00";"PASUBIO - COLSANTO";"Trambileno";
"E133A";"SEZ. SAT ROVERETO";"";"E";"STRADA DELLE MALGHE (b.133)";"STRADA DELLE MALGHE (b.131A)";1,775;1,812;1,775;1,812;600;610;"00:10";"00:10";"PASUBIO - COLSANTO";"Trambileno";
"E134";"SEZ. SAT ROVERETO";"";"E";"CRESTA NO DEL MONTE ROITE (b.105)";"VERSANTE O DI CIMA PALON (b.135)";2,018;2,155;1,908;2,155;3,340;3,390;"01:15";"01:15";"PASUBIO - COLSANTO";"Trambileno";
"E135";"GRUPPO SAT VALLARSA (Sez. Rovereto)";"";"E";"RAOSSI DI VALLARSA";"COGOLO ALTO (b.105)";727;2,150;727;2,155;7,000;7,210;"04:45";"03:30";"PASUBIO - COLSANTO";"Trambileno";
"E136";"SEZ. SAT FOLGARIA";"";"EEA";"SERRADA (b.104-137-140)";"BUS DE LA NEF DE LE COE";1,270;1,599;1,270;1,660;6,600;6,660;"02:15";"02:00";"FINONCHIO - MONTE MAGGIO";"Folgaria, Terragnolo";
"E137";"SEZ. SAT FOLGARIA";"Sentiero della Forra del Lupo";"E";"SERRADA  (b.104-136-140)";"FORTE DOSSO DELLE SOMME (b.136)";1,270;1,660;1,270;1,660;5,890;5,910;"02:20";"01:40";"FINONCHIO - MONTE MAGGIO";"Folgaria, Terragnolo";
"E138";"SEZ. SAT ROVERETO";"SENTER DEI TROGARI";"E";"ZENCHERI (b.140)";"TEZE - presso caserme (b.137)";943;1,487;943;1,487;2,300;2,370;"01:45";"01:10";"FINONCHIO - MONTE MAGGIO";"Terragnolo";
"E141";"GRUPPO SAT VALLARSA (Sez. Rovereto)";"VIA FERRATA \"PASQUALE BAGLIONI\" VF - EEA-PD";"EEA";"pr. COLLETTO BASSO DEL FIENO (b.179)";"pr. SELLA DEL COSMAGNON (b.135)";1,640;1,900;1,640;1,900;2,400;2,420;"02:00";"01:40";"PASUBIO - COLSANTO";"Vallarsa";
"E142";"RIF. ALPE POZZA \"VINCENZO LANCIA\"";"";"E";"SELLETTA COMANDO (b.120)";"SELLETTA \"TEN. \"SALVATORE DAMAGGIO\" (b.105)";2,075;2,195;2,075;2,195;1,030;1,050;"00:30";"00:20";"PASUBIO - COLSANTO";"Trambileno";
"E142A";"SEZ. SAT ROVERETO";"";"E";"VERSANTE E DI CIMA PALON (b.142)";"SELLETTA DEI DUE DENTI (b.105)";2,125;2,175;2,125;2,175;740;750;"00:20";"00:15";"PASUBIO - COLSANTO";"Trambileno";
"E144";"SEZ. SAT ROVERETO";"";"E";"SEGA DI TERRAGNOLO";"VAL ZUCCARIA (b.133)";668;1,670;668;1,670;6,690;6,790;"03:45";"02:45";"PASUBIO - COLSANTO";"Trambileno, Terragnolo";
"E145";"GRUPPO SAT VALLARSA (Sez. Rovereto)";"";"E";"TROCHETALL (b.146)";"DORSALE SE MONTE JOCOLE (b.146)";1,085;1,950;1,085;1,950;3,550;3,660;"02:30";"01:50";"CAREGA - PICCOLE DOLOMITI";"Vallarsa, Ala";
"E146";"GRUPPO SAT VALLARSA (Sez. Rovereto)";"SENTIERO DELLE TRINCEE";"E";"SP 89 DELLA VALLARSA - km 20,3";"TESTATA VAL DI GATTO (b.115)";1,030;1,952;1,030;1,952;4,450;4,600;"03:40";"02:40";"CAREGA - PICCOLE DOLOMITI";"Vallarsa";
"E147";"SEZ. SAT ROVERETO";"SENTIERO EUROPEO - E5";"E";"PASSO DELLA BORCOLA (b.124)";"VAL ZUCCARIA (b.133)";1,218;1,883;1,218;1,895;7,150;7,240;"03:30";"02:50";"PASUBIO - COLSANTO";"Terragnolo, Trambileno";
"E148";"SEZ. SAT ROVERETO";"";"E";"MALGA BORCOLA";"PASSO LUCCO (b.144)";1,194;1,379;1,094;1,379;2,290;2,340;"01:10";"01:00";"PASUBIO - COLSANTO";"Terragnolo";
"E151";"GRUPPO SAT VALLARSA (Sez. Rovereto)";"";"E";"SP 219 PRESSO CAMPOSILVANO";"RIFUGIO CAMPOGROSSO (b.170)";961;1,456;939;1,464;5,700;5,780;"02:10";"01:40";"CAREGA - PICCOLE DOLOMITI";"Vallarsa";
"E152";"GRUPPO SAT VALLARSA (Sez. Rovereto)";"";"E";"VAL DI SINELLO (b.151)";"VAL GERLANO (b.160)";939;1,069;939;1,100;2,680;2,710;"01:10";"01:00";"CAREGA - PICCOLE DOLOMITI";"Vallarsa";
"E153";"GRUPPO SAT VALLARSA (Sez. Rovereto)";"";"E";"SP 219 PRESSO CAMPOSILVANO";"STRADA DELLE SETTE FONTANE";983;1,393;983;1,393;2,700;2,740;"01:20";"00:50";"CAREGA - PICCOLE DOLOMITI";"Vallarsa";
"E157";"GRUPPO SAT VALLARSA (Sez. Rovereto), SEZ. SAT ALA";"SENTIERO BOALE DEI FONDI";"EE";"PASSO DI CAMPOGROSSO (b.151)";"RIFUGIO \"MARIO FRACCAROLI\" (b.108-108B)";1,464;2,238;1,464;2,238;5,300;5,460;"03:00";"02:30";"CAREGA - PICCOLE DOLOMITI";"Vallarsa";
"E157A";"GRUPPO SAT VALLARSA (Sez. Rovereto)";"SENTIERO \"ALBERTO GRESELE\"";"EE";"pr. MALGA STORTA (b.151)";"QUOTA 1602 (b.157)";1,315;1,602;1,315;1,602;1,800;1,850;"01:00";"00:40";"CAREGA - PICCOLE DOLOMITI";"Vallarsa";
"E160";"GRUPPO SAT VALLARSA (Sez. Rovereto)";"SENTIERO DEL VALON DEI CAVAI";"EE";"FINE SP 89 DI VALLARSA - km 20,6";"BOCCHETTA DELLA NEVE (b.108)";1,040;2,097;1,040;2,097;4,200;4,410;"03:15";"02:20";"CAREGA - PICCOLE DOLOMITI";"Vallarsa, Ala";
"E162";"GRUPPO SAT VALLARSA (Sez. Rovereto)";"";"EE";"STRADA OBRA-CAMPOGROSSO";"BOCCHETTA DEL CHERLONG (b.108)";1,132;2,115;1,132;2,115;2,500;2,700;"03:15";"02:30";"CAREGA - PICCOLE DOLOMITI";"Vallarsa, Ala";
"E170";"GRUPPO SAT VALLARSA (Sez. Rovereto)";"";"E";"PASSO PIAN DELLE FUGAZZE (b.179)";"RIFUGIO CAMPOGROSSO (b.151)";1,163;1,456;1,163;1,585;4,306;4,410;"02:15";"02:00";"CAREGA - PICCOLE DOLOMITI";"Vallarsa";
"E173";"GRUPPO SAT VALLARSA (Sez. Rovereto)";"";"E";"STRADA DELLE SETTE FONTANE";"PASCOLO MALGA BOFFETAL (b.170)";1,245;1,461;1,245;1,461;1,830;1,860;"00:40";"00:30";"CAREGA - PICCOLE DOLOMITI";"Vallarsa";
"E175";"GRUPPO SAT VALLARSA (Sez. Rovereto)";"";"EEA";"SELLETTA NO (b.170)";"MONTE CORNETTO";1,585;1,899;1,585;1,899;1,340;1,390;"00:50";"00:35";"CAREGA - PICCOLE DOLOMITI";"Vallarsa";
"E176";"GRUPPO SAT VALLARSA (Sez. Rovereto)";"VF - EEA-F";"EEA-F";"pr. SELLETTA NO (b.170)";"PASSO DEGLI ONARI - bivio 149-CAI";1,585;1,768;1,585;1,768;1,200;1,220;"00:40";"00:30";"CAREGA - PICCOLE DOLOMITI";"Vallarsa";
"E177";"GRUPPO SAT VALLARSA (Sez. Rovereto)";"";"E";"ALPE DI CAMPOGROSSO (b.170)";"PASSO DEL BAFFELAN - bivio 149-CAI";1,530;1,660;1,530;1,690;1,190;1,220;"00:40";"00:30";"CAREGA - PICCOLE DOLOMITI";"Vallarsa";
"E179";"GRUPPO SAT VALLARSA (Sez. Rovereto)";"";"E";"PASSO PIAN DELLE FUGAZZE (b.170)";"GALLER.\"GENERALE D'HAVET\" - b.398-CAI";1,163;1,781;1,163;1,781;2,810;2,900;"02:00";"01:20";"PASUBIO - COLSANTO";"Vallarsa";
"E201";"SEZ. SAT LEVICO";"SENTER DEL MENADOR";"E";"SANTA GIULIANA - frazione di Levico";"FRATESELE (b.220)";499;1,255;499;1,370;5,890;6,020;"03:00";"02:30";"ALTOPIANO DI LAVARONE - VEZZENA";"Levico Terme, Caldonazzo";
"E202";"SEZ. SAT CALDONAZZO";"SENTIERO DELLA PEGOLARA";"E";"LOCHERE - Trattoria alla Vedova";"SPIAZZO ALTO (b.220)";504;1,263;504;1,263;4,800;4,880;"02:10";"01:30";"ALTOPIANO DI LAVARONE - VEZZENA";"Caldonazzo";
"E203";"SEZ. SAT LEVICO";"";"E";"BARCO";"SELLA - parcheggio pr. Ristorante Carlòn";465;956;465;990;4,800;4,850;"02:00";"01:30";"CIMA DODICI - ORTIGARA";"Levico Terme, Borgo Valsugana";
"E204";"SEZ. SAT BORGO VALSUGANA";"TROSO DI MANAZZO";"E";"PONTE VAL DELLE TAOLE (b.207)";"PORTA MANAZZO-b.220-CAI (b.205-209)";990;1,795;0;1,795;3,590;3,700;"02:20";"01:40";"CIMA DODICI - ORTIGARA";"Borgo Valsugana";
"E205";"SEZ. SAT LEVICO";"SENTIERO \"MARIO MAGNAGO\"";"E";"BAITA CANGI (b.201)";"PORTA MANAZZO - bivio 220-CAI (b.204-209)";1,370;1,795;1,370;2,049;9,580;9,720;"04:10";"03:50";"ALTOPIANO DI LAVARONE - VEZZENA";"Levico Terme";
"E206";"SEZ. SAT BORGO VALSUGANA";"SENTIERO DI VAL CALDIERA - ORTIGARA SAA";"E";"OLLE - Borgo";"BIVACCO BUSE DELLE DODESE (b.211)";442;2,050;442;2,160;7,570;7,870;"05:20";"04:20";"CIMA DODICI - ORTIGARA";"Borgo Valsugana";
"E207";"SEZ. SAT BORGO VALSUGANA, SEZ. SAT LEVICO";"VIA FERRATA HIPPOLITI EEA-F";"E";"SELLA - località Genzianella";"ALTOPIANO (b. 205)";900;1,900;900;1,940;6,830;6,990;"03:15";"02:20";"CIMA DODICI - ORTIGARA";"Borgo Valsugana, Levico Terme";
"E207A";"SEZ. SAT BORGO VALSUGANA";"SENTIERO DELLA GROTTA DI COSTALTA";"E";"SPIGOLO DI COSTALTA (b.207)";"GROTTA DI COSTALTA";1,660;1,700;1,660;1,700;250;260;"00:10";"00:05";"CIMA DODICI - ORTIGARA";"Borgo Valsugana";
"E208";"SEZ. SAT BORGO VALSUGANA";"";"E";"SELLA EX LOCANDA AL CACCIATORE";"LA FORZELLETTA (b.211)";848;2,150;848;2,185;7,900;8,110;"04:30";"03:30";"CIMA DODICI - ORTIGARA";"Borgo Valsugana";
"E209";"SEZ. SAT BORGO VALSUGANA";"";"E";"PORTA MANAZZO-b.220-CAI (b.204-205)";"BUSA DEI KEMPEL (b.208)";1,795;1,970;1,795;2,037;4,500;4,560;"02:30";"02:00";"CIMA DODICI - ORTIGARA";"Borgo Valsugana";
"E210";"SEZ. SAT BORGO VALSUGANA";"";"EE";"SELLA - parcheggio ex Hotel Legno";"EREMO DI SAN LORENZO AL MONTE";830;1,185;830;1,185;3,490;3,540;"01:30";"01:10";"CIMA DODICI - ORTIGARA";"Borgo Valsugana";
"E211";"SEZ. SAT BORGO VALSUGANA";"SENTIERO ALPINISTICO DEL VALLON DELLE TRAPPOLE - SAA";"EE";"PRAE - strada Val di Sella";"CIMA DODICI - bivio 835-CAI";700;2,336;700;2,336;5,580;5,870;"05:20";"03:40";"CIMA DODICI - ORTIGARA";"Borgo Valsugana";
"E217";"SEZ. SAT LAVARONE";"SENTIERO DELL'ANCINO o del LANZINO";"E";"MOLIN NOVO";"LAVARONE FRAZIONE CHIESA";600;1,176;600;1,176;4,640;4,710;"02:40";"02:15";"ALTOPIANO DI LAVARONE - VEZZENA";"Centa S. Nicolò";
"E218";"SEZ. SAT CALDONAZZO";"VIA FERRATA DI VALIMPACH VF - EEA-PD";"EEA-PD";"VALLE DEL CENTA (b.217)";"PONTE DI VALIMPACH (b.219)";620;926;620;926;750;820;"01:15";"01:15";"ALTOPIANO DI LAVARONE - VEZZENA";"Centa S. Nicolò, Caldonazzo";
"E219";"SEZ. SAT CALDONAZZO";"SENTIERO ATTREZZATO DELLA STRADA DELLA VAL CARETA";"EE";"PINETA DI CALDONAZZO (b.225)";"CASARE DI LAVARONE";499;1,148;0;1,148;5,890;5,960;"02:30";"02:00";"ALTOPIANO DI LAVARONE - VEZZENA";"Caldonazzo, Lavarone";
"E220";"SEZ. SAT CALDONAZZO";"";"E";"FRATESELE (b.201)";"MONTE CIMONE (b.222-225)";1,248;1,526;1,248;1,526;3,420;3,470;"01:25";"01:10";"ALTOPIANO DI LAVARONE - VEZZENA";"Caldonazzo";
"E221";"SEZ. SAT LAVARONE";"";"EE";"BUSATTI - Val d'Astico";"GIONGHI";626;1,172;626;1,172;4,100;4,170;"01:45";"01:20";"ALTOPIANO DI LAVARONE - VEZZENA";"Lavarone";
"E222";"SEZ. SAT CALDONAZZO";"SENTIERO ATTREZZATO DEL TAMAZOL SAA - EE";"EE";"COL DELLE ALBARELE (b.219)";"MONTE CIMONE (b.220-225)";620;1,526;620;1,526;3,030;3,200;"03:00";"02:20";"ALTOPIANO DI LAVARONE - VEZZENA";"Caldonazzo, Lavarone";
"E223";"SEZ. SAT LAVARONE";"";"E";"GIONGHI";"pr. BELVEDERE (b.220)";1,172;1,416;1,172;1,416;3,080;3,120;"01:15";"01:00";"ALTOPIANO DI LAVARONE - VEZZENA";"Lavarone, Caldonazzo";
"E224";"SEZ. SAT LAVARONE";"";"E";"BERTOLDI - Fontana del Tomaso";"HINDERLOCH (b.220)";1,172;1,452;1,172;1,452;2,000;2,040;"01:00";"00:45";"ALTOPIANO DI LAVARONE - VEZZENA";"Lavarone, Caldonazzo";
"E225";"SEZ. SAT CALDONAZZO";"SENTIERO DEI PIANI";"E";"PINETA DI CALDONAZZO (b.219)";"MONTE CIMONE (b.220-222)";499;1,526;499;1,526;3,880;4,040;"03:30";"02:30";"ALTOPIANO DI LAVARONE - VEZZENA";"Caldonazzo";
"E226";"SEZ. SAT CALDONAZZO";"";"E";"PONTE DEL RIO - Caldonazzo";"SP 133 DELLA PEGOLARA (b.202)";516;860;516;860;1,100;1,160;"01:00";"00:40";"ALTOPIANO DI LAVARONE - VEZZENA";"Caldonazzo";
"E231";"SEZ. SAT BORGO VALSUGANA";"SENTIERO ALPINISTICO ATTREZZATO DEL VALLON DELLE DODICI - SAA";"EE";"VALLON DELLE TRAPPOLE (b.211)";"ALTOPIANO (b.211)";1,100;2,097;1,100;2,097;2,690;2,880;"03:10";"02:10";"CIMA DODICI - ORTIGARA";"Borgo Valsugana";
"E233";"SEZ. SAT CALDONAZZO";"VIA FERRATA DELLA VAL SCURA \"CLEMENTE CHIESA\" - VF - EEA-PD";"EEA-PD";"VAL SCURA - bivio SP 133 dir.";"BUSA SEGHETA (b.201)";542;1,240;542;1,240;2,990;3,100;"03:10";"02:50";"ALTOPIANO DI LAVARONE - VEZZENA";"Caldonazzo, Levico Terme";
"E235";"SEZ. SAT LEVICO";"SENTIERO EUROPEO N. 5";"T";"BUSA DELLE SCANDOLE (b.205)";"LUSERNA";1,380;1,333;1,333;1,460;6,600;6,660;"02:00";"02:05";"ALTOPIANO DI LAVARONE - VEZZENA";"Lavarone, Levico Terme, Luserna";
"E242";"SEZ. SAT BORGO VALSUGANA";"SENTIERO DELLA PERTICA e di GIOGO MALO";"E";"PERTEGA - Grigno";"BOSCO GIOGO MALO - bivio 842-CAI";249;1,640;249;1,640;6,090;6,320;"04:10";"03:00";"CIMA DODICI - ORTIGARA";"Grigno";
"E297";"SEZ. SAT O.C.";"STRADA NUOVA, SENTIERO DI FONDO GRANDE, SENTIERO DELLE SCALETTE";"E";"FORTE BELVEDERE";"LA CROSETTA - bivio 597 e 598-CAI";1,165;790;790;1,165;2,360;2,400;"00:50";"01:10";"ALTOPIANO DI LAVARONE - VEZZENA";"Lavarone";
"E297A";"SEZ. SAT O.C.";"";"E";"LE TABELLE (b.297)";"L'ECK DELLE ALBARELE";1,025;973;973;1,030;780;800;"00:25";"00:30";"ALTOPIANO DI LAVARONE - VEZZENA";"Lavarone";
"E298";"SEZ. SAT O.C.";"";"E";"SELLA DEL CAVALLO - bivio 599-CAI (b.299)";"MASETTI";730;1,157;730;1,157;1,220;1,300;"01:10";"00:50";"ALTOPIANO DI LAVARONE - VEZZENA";"Lavarone";
"E299";"SEZ. SAT O.C.";"SENTIERO VALLE RIO TORTO";"E";"MONTEROVERE";"SELLA DEL CAVALLO - bivio 599-CAI (b.298)";1,255;730;730;1,255;3,680;3,750;"01:25";"01:45";"ALTOPIANO DI LAVARONE - VEZZENA";"Lavarone";
"E301";"SEZ. SAT O.C.";"SENTIERO DEL CASARIN";"E";"MALGA VAL CION (b.318)";"BUSA SADOLE (b.320)";1,973;1,915;1,825;1,973;7,600;7,660;"03:30";"03:30";"LAGORAI / Mànghen - Stellune - Sàdole";"Pieve Tesino, Ziano di Fiemme";
